Name,Ticker,Weight,Sector
Apple Inc.,AAPL,3.13404,Information Technology
Microsoft Corporation,MSFT,2.416313,Information Technology
Exxon Mobil Corporation,XOM,1.898472,Energy
Johnson & Johnson,JNJ,1.79781,Health Care
Amazon.com Inc.,AMZN,1.575666,Consumer Discretionary
Facebook Inc. Class A,FB,1.529805,Information Technology
General Electric Company,GE,1.523364,Industrials
Berkshire Hathaway Inc. Class B,BRK-B,1.456448,Financials
AT&T Inc.,T,1.409077,Telecommunication Services
JPMorgan Chase & Co.,JPM,1.265019,Financials
Alphabet Inc. Class A,GOOGL,1.258038,Information Technology
Alphabet Inc. Class C,GOOG,1.227925,Information Technology
Procter & Gamble Company,PG,1.217329,Consumer Staples
Wells Fargo & Company,WFC,1.179421,Financials
Verizon Communications Inc.,VZ,1.162196,Telecommunication Services
Pfizer Inc.,PFE,1.128913,Health Care
Chevron Corporation,CVX,1.000016,Energy
Merck & Co. Inc.,MRK,0.918669,Health Care
Coca-Cola Company,KO,0.899668,Consumer Staples
Home Depot Inc.,HD,0.89363,Consumer Discretionary
Intel Corporation,INTC,0.863912,Information Technology
Comcast Corporation Class A,CMCSA,0.861075,Consumer Discretionary
PepsiCo Inc.,PEP,0.832798,Consumer Staples
Cisco Systems Inc.,CSCO,0.82214,Information Technology
Philip Morris International Inc.,PM,0.815125,Consumer Staples
Bank of America Corporation,BAC,0.807343,Financials
Visa Inc. Class A,V,0.804109,Information Technology
Walt Disney Company,DIS,0.77549,Consumer Discretionary
International Business Machines Corporation,IBM,0.758417,Information Technology
UnitedHealth Group Incorporated,UNH,0.716313,Health Care
Citigroup Inc.,C,0.707422,Financials
Altria Group Inc.,MO,0.692859,Consumer Staples
Amgen Inc.,AMGN,0.681515,Health Care
Oracle Corporation,ORCL,0.677541,Information Technology
Medtronic Plc,MDT,0.650346,Health Care
Wal-Mart Stores Inc.,WMT,0.598224,Consumer Staples
Schlumberger NV,SLB,0.595247,Energy
3M Company,MMM,0.574662,Industrials
AbbVie Inc.,ABBV,0.569293,Health Care
